Codigo;CodTipo;Tipo;coordenadas
549;1;Cajeros Automáticos;-78.514023,-0.216933
550;1;Cajeros Automáticos;-78.512671,-0.219409
551;1;Cajeros Automáticos;-78.514275,-0.216464
552;1;Cajeros Automáticos;-78.450809,-0.327207
553;1;Cajeros Automáticos;-78.505796,-0.375665
554;1;Cajeros Automáticos;-78.564729,-0.28586
555;1;Cajeros Automáticos;-78.550293,-0.328567
556;1;Cajeros Automáticos;-78.543219,-0.284962
557;1;Cajeros Automáticos;-78.552711,-0.276097
558;1;Cajeros Automáticos;-78.541873,-0.269134
559;1;Cajeros Automáticos;-78.564565,-0.461569
560;1;Cajeros Automáticos;-78.544101,-0.308082
561;1;Cajeros Automáticos;-78.531643,-0.268895
562;1;Cajeros Automáticos;-78.535375,-0.282919
563;1;Cajeros Automáticos;-78.564166,-0.310497
564;1;Cajeros Automáticos;-78.553002,-0.279623
565;1;Cajeros Automáticos;-78.543219,-0.284962
566;1;Cajeros Automáticos;-78.552083,-0.272128
567;1;Cajeros Automáticos;-78.546837,-0.260712
568;1;Cajeros Automáticos;-78.549521,-0.259719
569;1;Cajeros Automáticos;-78.558948,-0.298122
570;1;Cajeros Automáticos;-78.547292,-0.408666
571;1;Cajeros Automáticos;-78.556294,-0.295124
572;1;Cajeros Automáticos;-78.563751,-0.31089
573;1;Cajeros Automáticos;-78.540349,-0.269029
574;1;Cajeros Automáticos;-78.544101,-0.308082
575;1;Cajeros Automáticos;-78.536247,-0.284913
576;1;Cajeros Automáticos;-78.571575,-0.514964
577;1;Cajeros Automáticos;-78.56771,-0.513553
578;1;Cajeros Automáticos;-78.48468,-0.205496
579;1;Cajeros Automáticos;-78.537079,-0.267653
580;1;Cajeros Automáticos;-78.487502,-0.188629
581;1;Cajeros Automáticos;-78.492413,-0.175033
582;1;Cajeros Automáticos;-78.617065,-1.233976
583;1;Cajeros Automáticos;-78.628158,-1.241729
584;1;Cajeros Automáticos;-78.623088,-1.235701
585;1;Cajeros Automáticos;-78.607944,-1.269949
586;1;Cajeros Automáticos;-78.629896,-1.233804
587;1;Cajeros Automáticos;-78.546828,-1.328657
588;1;Cajeros Automáticos;-78.42211,-1.397389
589;1;Cajeros Automáticos;-78.626961,-1.24172
590;1;Cajeros Automáticos;-78.625564,-1.240429
591;1;Cajeros Automáticos;-78.616142,-1.235912
592;1;Cajeros Automáticos;-78.846687,-2.204281
